2 	 -1.1156151506073415
3 	 -0.4737158317419793
4 	 -0.5112370389414349
5 	 -0.18516413430699236
6 	 -0.4368183674817018
7 	 -0.012024791070636547
8 	 -0.3938671594534339
9 	 -0.5149334333533667
10 	 -0.5037993448422082
11 	 -0.15231890558724784
12 	 -0.051813650961818614
13 	 -0.29553200879886626
14 	 -0.2606777339864324
15 	 -0.346236476821184
16 	 -0.7476718982899435
17 	 -0.01036941630678626
18 	 -0.24644033459894502
19 	 -0.053148546661105016
20 	 -0.29197885454060923
21 	 -1.7025043873600698
